From,Name,Relationship_Type,Rel_value,To,Name
15,tt15,Similar to,0.53,52,tt52
15,tt15,Similar to,0.08,53,tt53
15,tt15,Similar to,0.9,54,tt54
15,tt15,Similar to,0.92,55,tt55
15,tt15,Similar to,0.01,56,tt56
15,tt15,Similar to,0.91,57,tt57
15,tt15,Similar to,0.82,58,tt58
15,tt15,Similar to,0.81,59,tt59
15,tt15,Similar to,0.66,60,tt60
15,tt15,Similar to,0.01,61,tt61
15,tt15,Similar to,0.98,62,tt62
15,tt15,Similar to,0.52,63,tt63
15,tt15,Similar to,0.53,64,tt64
15,tt15,Similar to,0.63,65,tt65
15,tt15,Similar to,0.71,66,tt66
15,tt15,Similar to,0.23,67,tt67
15,tt15,Similar to,0.36,68,tt68
15,tt15,Similar to,0.06,69,tt69
15,tt15,Similar to,0.52,70,tt70
15,tt15,Similar to,0.2,71,tt71
15,tt15,Similar to,0.7,72,tt72
15,tt15,Similar to,0.55,73,tt73
15,tt15,Similar to,0.92,74,tt74
15,tt15,Similar to,0.31,75,tt75
15,tt15,Similar to,0.29,76,tt76
15,tt15,Similar to,0.36,77,tt77
15,tt15,Similar to,0.57,78,tt78
15,tt15,Similar to,0.76,79,tt79
15,tt15,Similar to,0.85,80,tt80
15,tt15,Similar to,0.13,81,tt81
15,tt15,Similar to,0.37,82,tt82
15,tt15,Similar to,0.02,83,tt83
15,tt15,Similar to,0.81,84,tt84
15,tt15,Similar to,0.04,85,tt85
15,tt15,Similar to,0.25,86,tt86
15,tt15,Similar to,0.46,87,tt87
15,tt15,Similar to,0.69,88,tt88
15,tt15,Similar to,0.35,89,tt89
15,tt15,Similar to,0.45,90,tt90
15,tt15,Similar to,0.13,91,tt91
15,tt15,Similar to,0.28,92,tt92
15,tt15,Similar to,0.14,93,tt93
15,tt15,Similar to,0.81,94,tt94
15,tt15,Similar to,0.55,95,tt95
15,tt15,Similar to,0.57,96,tt96
15,tt15,Similar to,0.69,97,tt97
15,tt15,Similar to,0.71,98,tt98
15,tt15,Similar to,0.15,99,tt99
15,tt15,Similar to,0.29,100,tt100
16,tt16,Similar to,0.87,17,tt17
16,tt16,Similar to,0.95,18,tt18
16,tt16,Similar to,0.34,19,tt19
16,tt16,Similar to,0.3,20,tt20
16,tt16,Similar to,0.99,21,tt21
16,tt16,Similar to,0.55,22,tt22
16,tt16,Similar to,0.69,23,tt23
16,tt16,Similar to,0.15,24,tt24
16,tt16,Similar to,0.74,25,tt25
16,tt16,Similar to,0.1,26,tt26
16,tt16,Similar to,0.98,27,tt27
16,tt16,Similar to,0.1,28,tt28
16,tt16,Similar to,0.9,29,tt29
16,tt16,Similar to,0.04,30,tt30
16,tt16,Similar to,0.03,31,tt31
16,tt16,Similar to,0.51,32,tt32
16,tt16,Similar to,0.69,33,tt33
16,tt16,Similar to,0.14,34,tt34
16,tt16,Similar to,0.18,35,tt35
16,tt16,Similar to,0.64,36,tt36
16,tt16,Similar to,0.67,37,tt37
16,tt16,Similar to,0.76,38,tt38
16,tt16,Similar to,0.04,39,tt39
16,tt16,Similar to,0.62,40,tt40
16,tt16,Similar to,0.78,41,tt41
16,tt16,Similar to,0.6,42,tt42
16,tt16,Similar to,0.63,43,tt43
16,tt16,Similar to,0.91,44,tt44
16,tt16,Similar to,0.56,45,tt45
16,tt16,Similar to,0.98,46,tt46
16,tt16,Similar to,0.34,47,tt47
16,tt16,Similar to,0.72,48,tt48
16,tt16,Similar to,0.12,49,tt49
16,tt16,Similar to,0.62,50,tt50
16,tt16,Similar to,0.68,51,tt51
16,tt16,Similar to,0.71,52,tt52
16,tt16,Similar to,0.49,53,tt53
16,tt16,Similar to,0.59,54,tt54
16,tt16,Similar to,0.73,55,tt55
16,tt16,Similar to,0.95,56,tt56
16,tt16,Similar to,0.89,57,tt57
